x	y
12.0	0.027620298329714722
12.04	0.029446176429912187
12.08	0.029618280119799244
12.12	0.028635596056988146
12.16	0.030101007701393644
12.2	0.027046431253861726
12.24	0.02944748970198159
12.28	0.02894289872416182
12.32	0.030215214176383908
12.36	0.028662704081502226
12.4	0.02848912474221635
12.44	0.02749984174350001
12.48	0.02933153031674733
12.52	0.030085758828323334
12.56	0.029775054672617957
12.6	0.03167911615898077
12.64	0.029806749259748216
12.68	0.030807324005814245
12.72	0.029697339297583728
12.76	0.028712198906766736
12.8	0.02700222329502899
12.84	0.029610661920758077
12.88	0.030486115625708705
12.92	0.03317096273175021
12.96	0.030043067938977718
13.0	0.030115113628631708
13.04	0.031834408342302584
13.08	0.03066815133330616
13.120000000000001	0.030102897207234726
13.16	0.03038276419950696
13.2	0.03135656025214424
13.24	0.031653354875731954
13.28	0.0332099111796997
13.32	0.030499806547363954
13.36	0.03268381274789495
13.4	0.02907279576603691
13.44	0.03124581665181546
13.48	0.032282063496260706
13.52	0.031101780328396063
13.56	0.030524033910241895
13.6	0.030209624533306056
13.64	0.03152820371241577
13.68	0.03181765755475295
13.72	0.029514346867242688
13.76	0.032919782031629555
13.8	0.028304103931951465
13.84	0.02988742964265457
13.88	0.03191848459377039
13.92	0.030673335435938157
13.96	0.034939537308749394
14.0	0.03111224378552095
14.04	0.03159467526638872
14.08	0.03194878330592188
14.120000000000001	0.03383201684123625
14.16	0.03311387975942142
14.2	0.03334623248209418
14.24	0.03169660557683358
14.280000000000001	0.03327631565441113
14.32	0.03471372445789905
14.36	0.03353045781059589
14.4	0.03153094419050448
14.44	0.03264020695064296
14.48	0.03085491238566965
14.52	0.031150184010729033
14.56	0.031091273872619347
14.6	0.03266158330037369
14.64	0.0308602361412008
14.68	0.03241510968684252
14.72	0.029787566742451116
14.76	0.029644808489939965
14.8	0.03027601415153166
14.84	0.0331170943687597
14.879999999999999	0.029214209666159705
14.92	0.031190929928948924
14.96	0.03287149975048548
15.0	0.032103992745558335
15.04	0.030114220754327993
15.08	0.03156615551552168
15.120000000000001	0.03288329228787888
15.16	0.032331386880943794
15.2	0.03106873491579151
15.24	0.028705899677617164
15.280000000000001	0.02858305911597872
15.32	0.033823319570811486
15.36	0.028085423081067585
15.4	0.0339092788869664
15.44	0.03087080541938184
15.48	0.02933881802979363
15.52	0.03183706242702596
15.56	0.030664720121865167
15.6	0.03233483115156794
15.64	0.030713575675521645
15.68	0.029936467335646814
15.72	0.030061837558590265
15.76	0.030469024921554223
15.8	0.029495010471117983
15.84	0.03155774680894913
15.879999999999999	0.029313653289585948
15.92	0.03144255443739938
15.96	0.029264220179077694
16.0	0.031828548917901885
